"","Body_type","number_of_seats","length_mm","curb_weight_kg","maximum_torque_n_m","injection_type","cylinder_layout","number_of_cylinders","compression_ratio","engine_type","valves_per_cylinder","boost_type","engine_placement","engine_hp","drive_wheels","number_of_gears","transmission","fuel_grade","Fuel_Economy"
"68002",8,"5","4675","1350","235",44,54,4,9,17,2,167,9,110,30,4,35,"diesel",6.7
"68003",8,"5","4675","1360","285",44,54,4,9,17,2,167,9,115,30,4,35,"diesel",6.9
"68004",8,"5","4675","1325","210",44,54,4,9,17,2,167,9,90,30,4,35,"diesel",6.7
"68005",8,"5","4675","1425","235",44,54,4,9,17,2,167,9,110,30,5,36,"diesel",5.5
"68006",8,"5","4675","1360","285",44,54,4,9,17,2,167,9,115,30,5,36,"diesel",5.5
"68007",8,"5","4675","1325","210",44,54,4,9,17,2,167,9,90,30,5,36,"diesel",5.5
"68008",8,"5","4675","1425","235",44,54,4,9,17,2,167,9,110,31,5,36,"diesel",6.1
"68011",8,"5","4675","1375","205",42,53,5,9,16,2,9,9,150,30,5,35,"95",10.9
"68012",8,"5","4675","1335","205",42,53,5,9,16,2,9,9,150,30,5,36,"95",9.7
"68013",8,"5","4675","1430","205",42,53,5,9,16,2,9,9,150,31,5,36,"95",10
"68014",8,"5","4675","1670","310",44,53,6,9,17,4,167,9,180,31,5,35,"diesel",8.1
"68015",8,"5","4682","1527","310",44,53,6,9,17,4,167,9,150,31,6,36,"diesel",6.1
"68016",8,"5","4683","1510","310",42,53,6,9,17,4,167,9,150,30,5,35,"diesel",8.1
"68017",8,"5","4683","1555","310",44,53,6,9,17,4,167,9,150,30,6,36,"diesel",7
"68018",8,"5","4675","1495","280",42,53,6,9,16,5,9,9,193,31,4,35,"95",11
"68019",8,"5","4675","1458","280",42,53,6,9,16,5,9,9,193,31,5,36,"95",11
"68021",4,"5","4703","1252","148",41,54,4,9,16,2,9,9,102,30,5,36,"95",7.7
"68024",4,"5","4703","1373","210",41,54,4,9,16,5,167,9,150,30,5,35,"95",9.4
"68025",4,"5","4703","1280","225",41,54,4,9,16,5,167,9,170,30,5,35,"95",9.4
