"","left daughter","right daughter","split var","split point","status","prediction"
"3697",4308,4309,"curb_weight_kg",7.5,-3,9
"3698",4310,4311,"acceleration_0_100_km.h_s",11.15,-3,9
"3699",0,0,NA,0,-1,9
"3700",4312,4313,"engine_hp_rpm",8556.5,-3,9
"3701",4314,4315,"number_of_gears",3.5,-3,9
"3702",0,0,NA,0,-1,9
"3703",4316,4317,"fuel_tank_capacity_l",6.5,-3,9
"3704",0,0,NA,0,-1,9
"3705",4318,4319,"mixed_fuel_consumption_per_100_km_l",10.8991820375512,-3,9
"3706",4320,4321,"city_fuel_per_100km_l",20.75,-3,9
"3707",0,0,NA,0,-1,9
"3708",0,0,NA,0,-1,8.98648285739862
"3709",0,0,NA,0,-1,8.98648285739862
"3710",4322,4323,"Year_from",2000,-3,9
"3711",0,0,NA,0,-1,9
"3712",4324,4325,"cylinder_bore_mm",0,-3,9
"3713",4326,4327,"curb_weight_kg",0,-3,9
"3714",4328,4329,"maximum_torque_n_m",7,-3,9
"3715",4330,4331,"number_of_gears",26960,-3,9
"3716",4332,4333,"width_mm",1.5,-3,9
"3717",0,0,NA,0,-1,9
"3718",4334,4335,"city_fuel_per_100km_l",7.65,-3,9
"3719",0,0,NA,0,-1,8.99324142869931
"3720",0,0,NA,0,-1,9
"3721",0,0,NA,0,-1,8.98648285739862
"3722",4336,4337,"city_fuel_per_100km_l",0,-3,9
"3723",0,0,NA,0,-1,9
"3724",4338,4339,"mixed_fuel_consumption_per_100_km_l",24455,-3,9
"3725",4340,4341,"turnover_of_maximum_torque_rpm",1.5,-3,9
"3726",0,0,NA,0,-1,9
"3727",0,0,NA,0,-1,9
"3728",0,0,NA,0,-1,9
"3729",4342,4343,"acceleration_0_100_km.h_s",13.15,-3,9
"3730",0,0,NA,0,-1,8.98648285739862
"3731",4344,4345,"turnover_of_maximum_torque_rpm",3,-3,9
"3732",0,0,NA,0,-1,8.98648285739862
"3733",4346,4347,"number_of_seats",6,-3,9
"3734",0,0,NA,0,-1,9
"3735",4348,4349,"city_fuel_per_100km_l",2005.5,-3,9
"3736",0,0,NA,0,-1,9
"3737",4350,4351,"length_mm",3.5,-3,9
"3738",0,0,NA,0,-1,8.98648285739862
"3739",0,0,NA,0,-1,9
"3740",0,0,NA,0,-1,9
"3741",4352,4353,"number_of_cylinders",12.6467804768641,-3,9
"3742",4354,4355,"mixed_fuel_consumption_per_100_km_l",0,-3,9
"3743",0,0,NA,0,-1,9
"3744",0,0,NA,0,-1,9
"3745",4356,4357,"X",2007,-3,9
"3746",4358,4359,"stroke_cycle_mm",0,-3,9
"3747",0,0,NA,0,-1,9
"3748",0,0,NA,0,-1,8.98648285739862
"3749",4360,4361,"Year_from",0,-3,8.98648285739862
"3750",0,0,NA,0,-1,9
"3751",0,0,NA,0,-1,8.98648285739862
"3752",0,0,NA,0,-1,9
"3753",4362,4363,"fuel_tank_capacity_l",5.3491627506784,-3,8.98648285739862
"3754",0,0,NA,0,-1,9
"3755",0,0,NA,0,-1,8.98648285739862
"3756",0,0,NA,0,-1,9
"3757",0,0,NA,0,-1,9
"3758",0,0,NA,0,-1,9
"3759",0,0,NA,0,-1,9
"3760",0,0,NA,0,-1,9
"3761",4364,4365,"highway_fuel_per_100km_l",0,-3,9
"3762",0,0,NA,0,-1,8.98648285739862
"3763",0,0,NA,0,-1,9
"3764",0,0,NA,0,-1,9
"3765",4366,4367,"X",17227.5,-3,9
"3766",0,0,NA,0,-1,9
"3767",4368,4369,"fuel_tank_capacity_l",8.5,-3,9
"3768",0,0,NA,0,-1,9
"3769",4370,4371,"engine_hp",61,-3,9
"3770",0,0,NA,0,-1,9
"3771",4372,4373,"engine_hp",97,-3,9
"3772",0,0,NA,0,-1,9
"3773",0,0,NA,0,-1,9
"3774",4374,4375,"curb_weight_kg",7.5,-3,9
"3775",4376,4377,"turnover_of_maximum_torque_rpm",3.5,-3,9
"3776",4378,4379,"acceleration_0_100_km.h_s",0,-3,9
"3777",4380,4381,"acceleration_0_100_km.h_s",12.4,-3,9
"3778",0,0,NA,0,-1,8.98648285739862
"3779",4382,4383,"stroke_cycle_mm",69.5,-3,9
"3780",0,0,NA,0,-1,9
"3781",0,0,NA,0,-1,9
"3782",4384,4385,"maximum_torque_n_m",8,-3,9
"3783",0,0,NA,0,-1,9
