"","left daughter","right daughter","split var","split point","status","prediction"
"2998",0,0,NA,0,-1,9
"2999",3562,3563,"stroke_cycle_mm",92.5,-3,9
"3000",3564,3565,"stroke_cycle_mm",0,-3,9
"3001",0,0,NA,0,-1,9
"3002",0,0,NA,0,-1,9
"3003",3566,3567,"valves_per_cylinder",1.5,-3,9
"3004",3568,3569,"X",10086,-3,9
"3005",3570,3571,"acceleration_0_100_km.h_s",7.15,-3,9
"3006",0,0,NA,0,-1,9
"3007",0,0,NA,0,-1,9
"3008",0,0,NA,0,-1,9
"3009",0,0,NA,0,-1,9
"3010",0,0,NA,0,-1,9
"3011",3572,3573,"Year_from",0,-3,9
"3012",0,0,NA,0,-1,9
"3013",3574,3575,"acceleration_0_100_km.h_s",4.75,-3,9
"3014",3576,3577,"acceleration_0_100_km.h_s",7.65,-3,9
"3015",0,0,NA,0,-1,9
"3016",0,0,NA,0,-1,9
"3017",3578,3579,"Year_from",0,-3,9
"3018",0,0,NA,0,-1,9
"3019",3580,3581,"mixed_fuel_consumption_per_100_km_l",6.4,-3,9
"3020",3582,3583,"Year_from",0,-3,9
"3021",3584,3585,"maximum_torque_n_m",9.24918203755124,-3,9
"3022",0,0,NA,0,-1,8.98648285739862
"3023",3586,3587,"stroke_cycle_mm",88.5,-3,9
"3024",0,0,NA,0,-1,9
"3025",3588,3589,"maximum_torque_n_m",544,-3,9
"3026",3590,3591,"engine_hp",337.5,-3,9
"3027",0,0,NA,0,-1,9
"3028",0,0,NA,0,-1,9
"3029",0,0,NA,0,-1,9
"3030",0,0,NA,0,-1,8.98648285739862
"3031",0,0,NA,0,-1,9
"3032",0,0,NA,0,-1,9
"3033",3592,3593,"highway_fuel_per_100km_l",11.5,-3,9
"3034",3594,3595,"number_of_cylinders",0,-3,9
"3035",3596,3597,"curb_weight_kg",0,-3,9
"3036",0,0,NA,0,-1,9
"3037",0,0,NA,0,-1,9
"3038",0,0,NA,0,-1,9
"3039",0,0,NA,0,-1,9
